Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Liao River,exact,H,40.68407,122.14896,9,36.020823166828905
Corsica,exact,P,43.42527,-98.4073,3,11.181411658384004
Mazandaran,exact,L,36.0,52.0,15,71.42360692649342
Tambakrejo,exact,P,-7.2706,111.6216,11,28.817851708001083
Samut Prakan Province,exact,A,13.60442,100.70531,15,25.04752808546868
Cilento,exact,L,40.13405,15.25352,22,45.744058416691004
Costa del Azahar,exact,L,39.98333,-0.01667,22,137.7420446373678
Lagos States,fuzzy,A,6.53774,3.3522,5,16.858993639763074
GOMMBR,fuzzy,P,13.33454,-2.0105,3,56.04992579903346
Meishe River,fuzzy,H,43.08333,11.36667,22,47.57166690616662
São João da Madeira,exact,P,40.9007,-8.4902,3,44.56346540927256
Nuup Kangerlua,exact,H,64.5,-51.38333,3,5.585067929500232
Palmyra Atoll,exact,A,5.87727,-162.07425,10,63.07939177832498
Morača,exact,L,42.79694,19.38389,22,34.35666966925377
Sengarang Besar,Senggarang,T,0.96806,104.41667,11,59.87005623262252
Western Cape,exact,A,-34.0,20.0,7,72.13197993110697
Auroville,exact,P,12.00549,79.80885,15,64.41935734917301
Mississippi coast,exact,S,30.39159,-88.97614,3,47.20875400963825
Beijiang River,fuzzy,H,23.52083,120.13639,9,37.14753184983007
Oceania,exact,L,-18.31281,138.51562,13,20.879717376939492
Alue Naga,exact,A,5.6,95.34639,17,20.314103860267867
Pulau Pangkor,exact,T,4.22795,100.56026,17,30.979600650271472
Basins,exact,L,12.56667,121.05,9,49.40467391581751
Lake Kazichene,Lake County,A,-44.83333,168.5,13,37.06460489843053
Fog Bay,exact,H,-12.8325,130.2827,19,43.84875582302763
Punta Roca,exact,T,-0.05433,-91.56062,10,160.8923986327291
Western Sorkhrood,Western,A,19.30833,-81.375,2,25.02200550299133
Al Qurum's,Al,L,40.65289,44.70007,3,23.969515572749224
Bryde,exact,H,-33.35043,118.8262,19,34.540333116223174
Venice Lagoon,exact,H,45.39074,12.33868,22,17.492455782555933
Tibet,exact,A,31.66667,88.0,15,50.85911628767229
Kara,exact,P,9.55111,1.18611,5,34.8877305411617
North-Central Adriatic Sea,Northcentral,A,17.7533,-64.79238,2,41.87313010398265
Galerazamba,exact,L,10.7942,-75.25338,3,42.385358834354335
Karwar Coast,Karwar,P,14.81361,74.12972,15,52.940931962038015
Central Java,exact,A,-7.5,110.0,11,55.12181633636515
Mazara del Vallo,exact,P,37.65535,12.58986,22,19.00275559074052
Beaufort Sea,exact,H,72.6,-136.76,21,14.099766055343672
Tha Pra Chan,Tha,L,30.80045,70.29647,15,38.66780789276386
Negros Oriental,exact,A,9.75,123.0,11,61.46079320126468
South Java Sea,South,L,33.45876,-90.15081,3,32.7089856377989
Massachusetts,exact,L,41.89793,-70.85339,3,53.09120073262529
marina,exact,P,36.6844,-121.80217,9,33.8850372528958
El Socorro,exact,L,20.31667,-76.63333,3,24.67052648275376
Recife,exact,P,-8.05389,-34.88111,5,64.95612730872325
"Sanya City, Hainan Province",Sanya,P,18.25435,109.50947,9,27.33330740952415
Southeastern Arabian Sea,South Easter,U,45.05016,-61.58184,3,50.428179497781684
Cilincing,exact,P,-6.8557,106.2065,11,51.13752823759326
Azores Current,Azores,A,37.80847,-25.47466,2,34.37276397090126
Nazaré Canyon,exact,U,39.6,-9.33333,2,18.10663769944757
Shuangtaizi River,Shuangtaizi,P,41.59907,123.30441,9,19.653782521915854
Australasia,exact,L,-30.0,140.0,19,73.46865591563588
Saronicos Gulf,fuzzy,H,37.80286,23.61709,22,35.21884850349398
