Most Recurrent Value,Merged Class,Basin
,,
,,
,,
,,
10,10,Equatorial Pac
,,
,,
3,2,North Atlantic
11,10,Equatorial Pac
9,8,North Pacific
,,
,,
,,
,,
,,
,,
9,8,North Pacific
21,21,Arctic
11,10,Equatorial Pac
3,2,North Atlantic
,,
20,20,Antarctic
,,
9,8,North Pacific
,,
,,
9,8,North Pacific
22,22,Mediteranean
3,2,North Atlantic
3,2,North Atlantic
,,
3,2,North Atlantic
21,21,Arctic
,,
,,
,,
,,
,,
9,8,North Pacific
15,14,North Indian
,,
,,
17,16,Equatorial Indian
9,8,North Pacific
,,
9,8,North Pacific
24,24,Baltic Sea
,,
,,
15,14,North Indian
,,
,,
,,
22,22,Mediteranean
9,8,North Pacific
11,10,Equatorial Pac
,,
11,10,Equatorial Pac
22,22,Mediteranean
15,14,North Indian
9,8,North Pacific
2,2,North Atlantic
,,
,,
12,12,South Pacific
,,
Sargassum,Sargassum,
,,
12,12,South Pacific
3,2,North Atlantic
4,4,Equatorial Atlant
,,
,,
3,2,North Atlantic
,,
,,
3,2,North Atlantic
3,2,North Atlantic
20,20,Antarctic
11,10,Equatorial Pac
,,
17,16,Equatorial Indian
,,
,,
,,
,,
,,
,,
,,
,,
,,
3,2,North Atlantic
15,14,North Indian
,,
11,10,Equatorial Pac
22,22,Mediteranean
,,
9,8,North Pacific
15,14,North Indian
,,
11,10,Equatorial Pac
,,
9,8,North Pacific
11,10,Equatorial Pac
,,
15,14,North Indian
11,10,Equatorial Pac
,,
15,14,North Indian
9,8,North Pacific
,,
,,
3,2,North Atlantic
3,2,North Atlantic
9,8,North Pacific
,,
,,
22,22,Mediteranean
,,
,,
7,6,South Atlantic
13,12,South Pacific
11,10,Equatorial Pac
9,8,North Pacific
3,2,North Atlantic
22,22,Mediteranean
15,14,North Indian
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
15,14,North Indian
12,12,South Pacific
,,
11,10,Equatorial Pac
,,
,,
9,8,North Pacific
3,2,North Atlantic
,,
9,8,North Pacific
9,8,North Pacific
,,
15,14,North Indian
,,
9,8,North Pacific
9,8,North Pacific
3,2,North Atlantic
19,18,South Indian
,,
5,4,Equatorial Atlant
11,10,Equatorial Pac
,,
,,
22,22,Mediteranean
,,
11,10,Equatorial Pac
7,6,South Atlantic
,,
9,8,North Pacific
,,
,,
,,
,,
9,8,North Pacific
,,
,,
,,
3,2,North Atlantic
,,
15,14,North Indian
21,21,Arctic
3,2,North Atlantic
9,8,North Pacific
,,
22,22,Mediteranean
,,
,,
24,24,Baltic Sea
22,22,Mediteranean
3,2,North Atlantic
15,14,North Indian
15,14,North Indian
15,14,North Indian
,,
,,
3,2,North Atlantic
,,
9,8,North Pacific
9,8,North Pacific
18,18,South Indian
3,2,North Atlantic
,,
,,
15,14,North Indian
3,2,North Atlantic
21,21,Arctic
11,10,Equatorial Pac
20,20,Antarctic
15,14,North Indian
,,
,,
,,
,,
11,10,Equatorial Pac
9,8,North Pacific
,,
3,2,North Atlantic
,,
,,
,,
,,
,,
24,24,Baltic Sea
,,
13,12,South Pacific
,,
15,14,North Indian
2,2,North Atlantic
3,2,North Atlantic
