,Topic,Year,Gini Coefficient
0,-1,1981,0.35882352941176476
1,-1,1987,
2,-1,1990,0.0
3,-1,1992,0.0
4,-1,1993,0.4886363636363637
5,-1,1994,0.0
6,-1,1995,0.4731182795698925
7,-1,1996,0.0
8,-1,1997,0.47222222222222215
9,-1,1998,0.0
10,-1,1999,0.0
11,-1,2000,0.0
12,-1,2001,0.5073746312684366
13,-1,2002,0.0
14,-1,2003,0.33649025069637883
15,-1,2005,0.0
16,-1,2007,0.5232558139534884
17,-1,2008,0.7676573105852136
18,-1,2009,0.8412769116555312
19,-1,2010,0.6720000000000002
20,-1,2011,0.6505855743839329
21,-1,2012,0.8433161806746712
22,-1,2013,0.6668363585296494
23,-1,2014,0.6572103306200384
24,-1,2015,0.5639651069892112
25,-1,2016,0.5645397735516767
26,-1,2017,0.6593815147751723
27,-1,2018,0.6229065042125592
28,-1,2019,0.5909655246280153
29,-1,2020,0.5577587059160722
30,-1,2021,0.5485556499866585
31,-1,2022,0.5494016910857465
32,-1,2023,0.5994837907991721
33,-1,2024,0.7867955164466792
34,0,1981,0.0
35,0,1983,0.0
36,0,2000,0.0
37,0,2001,0.0
38,0,2010,0.0
39,0,2012,0.03736654804270461
40,0,2013,0.25450595429674927
41,0,2014,0.14377062706270627
42,0,2015,0.18224012274645185
43,0,2016,0.35928366159669173
44,0,2017,0.39960941419848883
45,0,2018,0.4083118398427904
46,0,2019,0.47704868537838113
47,0,2020,0.45008699867841684
48,0,2021,0.47988621209472443
49,0,2022,0.45270049330514456
50,0,2023,0.5676933425965748
51,0,2024,0.7136425915051869
52,1,2012,0.3100204498977505
53,1,2013,0.1517660044150111
54,1,2014,0.28728673637864616
55,1,2015,0.2550326578462569
56,1,2016,0.4363968092328581
57,1,2017,0.28377164451878695
58,1,2018,0.39914838816882686
59,1,2019,0.3841802993386704
60,1,2020,0.4379015596907421
61,1,2021,0.4504967249995023
62,1,2022,0.4399102143851164
63,1,2023,0.5099316086827238
64,1,2024,0.7283464566929134
65,2,1987,0.0
66,2,1991,0.4666666666666667
67,2,1992,
68,2,1994,0.0
69,2,1996,0.0
70,2,1997,0.0
71,2,2003,0.0
72,2,2009,0.0
73,2,2011,0.5087719298245614
74,2,2013,0.49367088607594944
75,2,2014,0.3843537414965985
76,2,2015,0.7465116279069768
77,2,2016,0.44063926940639275
78,2,2017,0.7145696826915999
79,2,2018,0.6096734248415399
80,2,2019,0.736668290306868
81,2,2020,0.5821171594309565
82,2,2021,0.7124645670932511
83,2,2022,0.6213209494324046
84,2,2023,0.6920703933747412
85,2,2024,0.8006535947712419
86,3,2013,0.06638755980861245
87,3,2014,0.32360515021459224
88,3,2015,0.11750599520383694
89,3,2016,0.37226450999048527
90,3,2017,0.28583351398222423
91,3,2018,0.487312080515725
92,3,2019,0.4187793080530222
93,3,2020,0.4031066282420751
94,3,2021,0.41096993255181524
95,3,2022,0.44507188914253676
96,3,2023,0.5200711511235343
97,3,2024,0.7508234519104084
98,4,2009,0.0
99,4,2011,0.0
100,4,2013,0.39085285019885113
101,4,2014,0.46804979253112033
102,4,2015,0.04329004329004329
103,4,2016,0.2931555108203322
104,4,2017,0.5574209680300055
105,4,2018,0.5210419485791611
106,4,2019,0.4668625509534893
107,4,2020,0.5882515020788529
108,4,2021,0.5079644816002172
109,4,2022,0.5333882463850229
110,4,2023,0.5708824831393382
111,4,2024,0.7282862065470761
112,5,1990,0.0
113,5,1994,0.0
114,5,1996,0.0
115,5,1997,0.1262848751835536
116,5,1998,0.0
117,5,1999,0.15217391304347824
118,5,2002,0.0
119,5,2003,0.03206751054852321
120,5,2004,0.10793650793650791
121,5,2005,0.0
122,5,2006,0.00819672131147542
123,5,2007,0.36235632183908045
124,5,2008,0.0
125,5,2009,0.4767123287671233
126,5,2010,0.4305841924398625
127,5,2011,0.24027777777777778
128,5,2012,0.2806685588142542
129,5,2013,0.4158281943092071
130,5,2014,0.48456595027391497
131,5,2015,0.6378932328233932
132,5,2016,0.5458190148911799
133,5,2017,0.49661495415823526
134,5,2018,0.3974631845375059
