,Title,DOI,Author
0,"Microplastics assessment in Arabian Sea fishes: accumulation, characterization, and method development",10.1590/1519-6984.270694,Riaz S.
1,"Biodiversity, distributions and isolation of microplastics pollution in finfish species in the Panjkora River at Lower and Upper Dir districts of Khyber Pakhtunkhwa province of Pakistan",10.1590/1519-6984.256817,Khan W.
2,High-precision density mapping of marine debris and floating plastics via satellite imagery,10.1038/s41598-023-33612-2,Booth H.
3,"Comparison of learning models to predict LDPE, PET, and ABS concentrations in beach sediment based on spectral reflectance",10.1038/s41598-023-33207-x,Huda F.R.
4,Methods for controlled preparation and dosing of microplastic fragments in bioassays,10.1038/s41598-023-32250-y,Boettcher H.
5,Plastic waste discharge to the global ocean constrained by seawater observations,10.1038/s41467-023-37108-5,Zhang Y.
6,Euryhaline fish larvae ingest more microplastic particles in seawater than in freshwater,10.1038/s41598-023-30339-y,Pratiwi H.M.
7,"Substantial burial of terrestrial microplastics in the Three Gorges Reservoir, China",10.1038/s43247-023-00701-z,Gao B.
8,Non-buoyant microplastic settling velocity varies with biofilm growth and ambient water salinity,10.1038/s43247-023-00690-z,Mendrik F.
9,Short- and long-term polystyrene nano- and microplastic exposure promotes oxidative stress and divergently affects skin cell architecture and Wnt/beta-catenin signaling,10.1186/s12989-023-00513-1,Schmidt A.
10,Subterranean transport of microplastics as evidenced in karst springs and their characterization using Raman spectroscopy,10.1016/j.saa.2023.122811,Nesterovschi I.
11,"An overview of microplastics in oysters: Analysis, hazards, and depuration",10.1016/j.foodchem.2023.136153,Liu Y.
12,"Microplastic contamination from surface waters and commercially valuable fishes of Karachi Coast, Pakistan",10.1016/j.rsma.2023.102955,Arshad N.
13,"Dynamics of microplastic transport and accumulation in a rural coastal area: Insights from the Otsuchi Bay, a small ria in Sanriku, Japan",10.1016/j.rsma.2023.102964,Wang Y.
14,"Occurrence of microplastics in some commercially important seafood varieties from Negombo, Sri Lanka",10.1016/j.rsma.2023.102958,Kandeyaya K.B.K.D.K.
15,"Microplastic ingestion by the polychaete community in the coastal waters of Kochi, Southwest coast of India",10.1016/j.rsma.2023.102948,James K.
16,Mangrove and microplastic pollution: A case study from a small island (Mauritius),10.1016/j.rsma.2023.102906,Seeruttun L.D.
17,The degradation of single-use plastics and commercially viable bioplastics in the environment: A review,10.1016/j.envres.2023.115988,Idris S.N.
18,Settling of buoyant microplastic in estuaries: The importance of flocculation,10.1016/j.scitotenv.2023.163976,Laursen S.N.
19,Rethinking plastic recycling: A comparison between North America and Europe,10.1016/j.jenvman.2023.117859,Ackerman J.
20,Microplastics – An emerging contaminants for algae. Critical review and perspectives,10.1016/j.scitotenv.2023.163842,Podbielska M.
21,"Abundance, distribution and composition of microplastics in sediment and fish species from an Urban River of Bangladesh",10.1016/j.scitotenv.2023.163876,Khan M.B.
22,Tracing the route: Using stable isotope analysis to understand microplastic pathways through the pelagic-neritic food web of the Tyrrhenian Sea (Western Mediterranean),10.1016/j.scitotenv.2023.163875,Valente T.
23,"Fate, transport, and source of microplastics in the headwaters of the Yangtze River on the Tibetan Plateau",10.1016/j.jhazmat.2023.131526,Feng S.
24,Cross-sectional microstructural analysis to evaluate the crack growth pattern of weathered marine plastics,10.1016/j.chemosphere.2023.138794,Takahashi Y.
25,"Assessing human and physical drivers of macro-plastic debris spatially across Queensland, Australia",10.1016/j.envpol.2023.121731,Gacutan J.
26,Individual and population effects of entanglement mortality on ospreys from plastic baling twine in nests,10.1016/j.gecco.2023.e02496,Restani M.
27,Microplastics in aquatic species of Anzali wetland: An important freshwater biodiversity hotspot in Iran,10.1016/j.envpol.2023.121762,Amini-Birami F.
28,Scavenging of polystyrene microplastics by sediment particles in both turbulent and calm aquatic environments,10.1016/j.scitotenv.2023.163720,Serra T.
29,Determination of microplastic contamination levels and trends in vast oceanic sediment areas with uncertainty,10.1016/j.scitotenv.2023.163612,Morgado V.
30,Insight into the marine microplastic abundance and distribution in ship cooling systems,10.1016/j.jenvman.2023.117940,Kim B.
31,The role of different sustainable urban drainage systems in removing microplastics from urban runoff: A review,10.1016/j.jclepro.2023.137197,García-Haba E.
32,Distribution and risk assessment of microplastics in typical ecosystems in the South China Sea,10.1016/j.scitotenv.2023.163678,Zheng X.
33,"Presence, variation, and potential ecological impact of microplastics in the largest shallow lake of Central Europe",10.1016/j.scitotenv.2023.163537,Svigruha R.
34,ROV-based monitoring of passive ecological recovery in a deep-sea no-take fishery reserve,10.1016/j.scitotenv.2023.163339,Vigo M.
35,Microplastics and nanoplastics toxicity assays: A revision towards to environmental-relevance in water environment,10.1016/j.jhazmat.2023.131476,Pencik O.
36,"Microplastic as an invisible threat to the coral reefs: Sources, toxicity mechanisms, policy intervention, and the way forward",10.1016/j.jhazmat.2023.131522,Rahman M.N.
37,Not so dangerous? PET microplastics toxicity on freshwater microalgae and cyanobacteria,10.1016/j.envpol.2023.121628,Pencik O.
38,Effects of particle size on marine biodegradation of poly(L-lactic acid) and poly(ε-caprolactone),10.1016/j.matchemphys.2023.127813,Hino S.
39,"Trophic transfer of DDE, BP-3 and chlorpyrifos from microplastics to tissues in Dicentrarchus labrax",10.1016/j.scitotenv.2023.163295,Herrera A.
40,Adverse multigeneration combined impacts of micro(nano)plastics and emerging pollutants in the aquatic environment,10.1016/j.scitotenv.2023.163679,Junaid M.
41,Insights into the release of triclosan from microplastics in aquatic environment assessed with diffusive gradient in thin-films,10.1016/j.scitotenv.2023.163601,Liu S.S.
42,"Microplastics as an emerging menace to environment: Insights into their uptake, prevalence, fate, and sustainable solutions",10.1016/j.envres.2023.115922,Devi A.
43,A multimedia model to estimate the environmental fate of microplastic particles,10.1016/j.scitotenv.2023.163437,Quik J.T.K.
44,Distribution of microplastics in different tissues of major commercial catches in different functional areas of the South Yellow Sea,10.1016/j.scitotenv.2023.163597,Zhang T.
45,"Plastic pollution and fungal, protozoan, and helminth pathogens – A neglected environmental and public health issue?",10.1016/j.scitotenv.2023.163093,Ormsby M.J.
46,"Temporal and spatial variation of microplastics in Baotou section of Yellow River, China",10.1016/j.jenvman.2023.117803,Qian Y.
47,Rapid urbanization affects microplastic communities in lake sediments: A case study of Lake Aha in southwest China,10.1016/j.jenvman.2023.117824,Gao S.
