,Year
0,2024
1,2024
2,2024
3,2024
4,2024
5,2024
6,2024
7,2024
8,2024
9,2024
10,2024
11,2024
12,2024
13,2025
14,2024
15,2024
16,2024
17,2024
18,2024
19,2024
20,2024
21,2024
22,2024
23,2024
24,2024
25,2024
26,2024
27,2024
28,2024
29,2024
30,2024
31,2024
32,2024
33,2024
34,2024
35,2024
36,2024
37,2024
38,2024
39,2024
40,2024
41,2024
42,2024
43,2024
44,2024
45,2024
46,2024
47,2024
48,2024
49,2024
50,2024
51,2024
52,2024
53,2024
54,2024
55,2024
56,2024
57,2024
58,2024
59,2024
60,2024
61,2024
62,2024
63,2024
64,2024
65,2024
66,2024
67,2024
68,2024
69,2024
70,2024
71,2024
72,2024
73,2024
74,2024
75,2024
76,2024
77,2024
78,2024
79,2024
80,2024
81,2024
82,2024
83,2024
84,2024
85,2024
86,2024
87,2024
88,2024
89,2024
90,2024
91,2024
92,2024
93,2024
94,2024
95,2024
96,2024
97,2024
98,2024
99,2024
100,2024
101,2024
102,2024
103,2024
104,2024
105,2024
106,2024
107,2024
108,2024
109,2024
110,2024
111,2024
112,2024
113,2024
114,2024
115,2024
116,2024
117,2024
118,2024
119,2024
120,2024
121,2024
122,2024
123,2024
124,2024
125,2024
126,2024
127,2024
128,2024
129,2024
130,2024
131,2024
132,2024
133,2024
134,2024
135,2024
136,2024
137,2024
138,2024
139,2024
140,2024
141,2024
142,2024
143,2024
144,2024
145,2024
146,2024
147,2024
148,2024
149,2024
150,2024
151,2024
152,2024
153,2024
154,2024
155,2024
156,2024
157,2024
158,2024
159,2024
160,2024
161,2024
162,2024
163,2024
164,2024
165,2024
166,2024
167,2024
168,2024
169,2024
170,2024
171,2024
172,2024
173,2024
174,2024
175,2024
176,2024
177,2024
178,2024
179,2024
180,2024
181,2024
182,2024
183,2024
184,2024
185,2024
186,2024
187,2024
188,2024
189,2024
190,2024
191,2024
192,2024
193,2024
194,2024
195,2024
196,2024
197,2024
198,2024
199,2024
200,2024
201,2024
202,2024
203,2024
204,2024
205,2024
206,2024
207,2024
208,2024
209,2024
210,2024
211,2024
212,2024
213,2024
214,2024
215,2024
216,2024
217,2024
218,2024
219,2024
220,2024
221,2024
222,2024
223,2024
224,2024
225,2024
226,2024
227,2024
228,2024
229,2024
230,2024
231,2024
232,2024
233,2024
234,2024
235,2024
236,2024
237,2024
238,2024
239,2024
240,2024
241,2024
242,2024
243,2024
244,2024
245,2024
246,2024
247,2024
248,2024
249,2024
250,2024
251,2024
252,2024
253,2024
254,2024
255,2024
256,2024
257,2024
258,2024
259,2024
260,2024
261,2024
262,2024
263,2024
264,2024
265,2024
266,2024
267,2024
268,2024
269,2024
270,2024
271,2024
272,2024
273,2024
274,2024
275,2024
276,2024
277,2024
278,2024
279,2024
280,2024
281,2024
282,2024
283,2024
284,2024
285,2024
286,2024
287,2024
288,2024
289,2024
290,2024
291,2024
292,2024
293,2024
294,2024
295,2024
296,2024
297,2024
298,2024
299,2024
300,2024
301,2024
302,2024
303,2024
304,2024
305,2024
306,2024
307,2024
308,2024
309,2024
310,2024
311,2024
312,2024
313,2024
314,2024
315,2024
316,2024
317,2024
318,2024
319,2024
320,2024
321,2024
322,2024
323,2024
324,2024
325,2024
326,2024
327,2024
328,2024
329,2024
330,2024
331,2024
332,2024
333,2024
334,2024
335,2024
336,2024
337,2024
338,2024
339,2024
340,2024
341,2024
342,2024
343,2024
344,2024
345,2024
346,2024
347,2024
348,2024
349,2024
350,2024
351,2024
352,2024
353,2024
354,2024
355,2024
356,2024
357,2024
358,2024
359,2024
360,2024
361,2024
362,2024
363,2024
364,2024
365,2024
366,2024
367,2024
368,2024
369,2024
370,2024
371,2024
372,2024
373,2024
374,2024
375,2024
376,2024
377,2024
378,2024
379,2024
380,2024
381,2024
382,2024
383,2024
384,2024
385,2024
386,2024
387,2024
388,2024
389,2024
390,2024
391,2024
392,2024
393,2024
394,2024
395,2024
396,2024
397,2024
398,2024
399,2024
400,2024
401,2024
402,2024
403,2024
404,2024
405,2024
406,2024
407,2024
408,2024
409,2024
410,2024
411,2024
412,2024
413,2024
414,2024
415,2024
416,2024
417,2024
418,2024
419,2024
420,2024
421,2024
422,2024
423,2024
424,2024
425,2024
426,2024
427,2024
428,2024
429,2024
430,2024
431,2024
432,2024
433,2024
434,2024
435,2024
436,2024
437,2024
438,2024
439,2024
440,2024
441,2024
442,2024
443,2024
444,2024
445,2024
446,2024
447,2024
448,2024
449,2024
450,2024
451,2024
452,2024
453,2024
454,2024
455,2024
456,2024
457,2024
458,2024
459,2024
460,2024
461,2024
462,2024
463,2024
464,2024
465,2024
466,2024
467,2024
468,2024
469,2024
470,2024
471,2024
472,2024
473,2024
474,2024
475,2024
476,2024
477,2024
478,2024
479,2024
480,2024
481,2024
482,2024
483,2024
484,2024
485,2024
486,2024
487,2024
488,2024
489,2024
490,2024
491,2024
492,2024
493,2024
494,2024
495,2024
496,2024
497,2024
498,2024
499,2024
500,2024
501,2024
502,2024
503,2024
504,2024
505,2024
506,2024
507,2024
508,2024
509,2024
510,2024
511,2024
512,2024
513,2024
514,2024
515,2024
516,2024
517,2024
518,2024
519,2024
520,2024
521,2024
522,2024
523,2024
524,2024
525,2024
526,2024
527,2024
528,2024
529,2024
530,2024
531,2024
532,2024
533,2024
534,2024
535,2024
536,2024
537,2024
538,2024
539,2024
540,2024
541,2024
542,2024
543,2024
544,2024
545,2024
546,2024
547,2024
548,2024
549,2024
550,2024
551,2024
552,2024
553,2024
554,2024
555,2024
556,2024
557,2024
558,2024
559,2024
560,2024
561,2024
562,2024
563,2024
564,2024
565,2024
566,2024
567,2024
568,2024
569,2024
570,2024
571,2024
572,2024
573,2024
574,2024
575,2024
576,2024
577,2024
578,2024
579,2024
580,2024
581,2024
582,2024
583,2024
584,2024
585,2024
586,2024
587,2024
588,2024
589,2024
590,2024
591,2024
592,2024
593,2024
594,2024
595,2024
596,2024
597,2024
598,2024
599,2024
600,2024
