,Topic,Words,Frequency,Timestamp
0,37,"industrialized regions, recorded contaminants, zealand 1977, pellets kinds, contaminants beaches",1,1977
1,37,"pellets, virgin, beaches, plastic pellets, new zealand",1,1978
2,37,"pellets, opaque white, opaque, oval round, pellets opaque",1,1979
3,37,"1980, plastic 1980, materials 1980, cape basin, 70 appeared",2,1980
4,-1,"flint, flint clay, clay, dissolution, mechanical comminution",2,1981
5,0,"grabs, stones, 16 mm, stones 16, mm",1,1981
6,37,"pellets, crazing encrusting, button like, like pellets, algeciras almeria",1,1982
7,0,"sampler, substrata, air lift, lift sampler, lift",1,1983
8,37,"granules, bermuda, plastic granules, character granules, degradational",1,1983
9,11,"petrels, birds, blue petrels, feather wear, kerguelen petrels",1,1986
10,-1,"materials selective, fishing various, given work, including convention, annex resultant",1,1987
11,2,"laws, pollution laws, addressed, pollution, international",1,1987
12,11,"seals, entanglement, entangled, debris, sea",5,1987
13,37,"debris, 1987, materials, pellets, beaches",4,1987
14,37,"gly, speract, cyclase, guanylate cyclase, guanylate",4,1988
15,11,"movements, fur, seals, estimate impacts, model",1,1989
16,37,"exposed sea, shoreline, debris, 1989, plastic debris",2,1989
17,-1,"diamictites, granville, diamictite, turbidites, glacial",1,1990
18,5,"1990, hard, anstalt, earliest settlers, hard organisms",1,1990
19,11,"animals, fur seals, fur, seals, antarctic fur",1,1990
20,19,"gear, reprocessing, fishing, extrusion, thermal stability",1,1990
21,2,"convention, international, dumping, marpol, agreements",2,1991
22,37,"tar, megalitter, beaches, debris, plastic",3,1991
23,-1,"glacial marine, similar, irish sea, glacial, sea basin",1,1992
24,2,"annex, initiated request, gained annex, annex using, states department",1,1992
25,11,"birds, little penguins, death, phillip, causes death",1,1992
26,19,"fishing, gill, nets, gill nets, gear",1,1992
27,37,"debris, 1992, 1989, plastics, chatham county",5,1992
28,-1,"flow, backscatter, banding, debris flow, entry",2,1993
29,11,"seals, injuries, adult male, adult, male",1,1993
30,37,"debris, caribbean, beaches, panama, st lucia",2,1993
31,-1,"trawl web, 1988, 1985 1987, 1988 1992, trawl",1,1994
32,2,"discharges, outlines major, international controls, debris reviews, process appropriate",1,1994
33,5,"gulf, arabian gulf, gulf oman, oman, nettings",1,1994
34,6,"current fields, fields, current, drift, combined authors",1,1994
35,11,"turtles, debris, mass volume, debris significantly, gut contents",1,1994
36,37,"arabian gulf, gulf, arabian, gully, debris",3,1994
37,-1,"les, échantillons, sp, pipes, des",3,1995
38,11,"species, individuals, incidence plastic, plastic, new zealand",2,1995
39,19,"tpu, melt, tpu matrix, n66, melt reprocessing",1,1995
40,37,"debris, 1995, marine debris, undertaken, use volunteers",3,1995
41,-1,"mortalities effects, subject effect, techniques indicators, discharges assessment, tbt oil",1,1996
42,2,"annex, navy, special areas, sea, special",1,1996
43,5,"measures model, repeated measures, model, variance, estimates",1,1996
44,11,"tar, tar pellets, dosima, fascicularis, irish",1,1996
45,37,"debris, continental, continental slope, undertaken, plain",1,1996
46,-1,"south georgia, georgia, line, synthetic line, long line",2,1997
47,2,"marine pollution, caribbean, pollution, marine, pollution problems",1,1997
48,5,"litter, people, debris, beach conditions, controlling marine",3,1997
49,9,"petrel, birds, user plastic, plastic, shearwaters",1,1997
50,11,"guadalupe, records, guadalupe fur, california, northern",1,1997
51,37,"coverage, publications division, activities ultimate, accomodation, accomodation sediments",1,1997
52,-1,"sets, dolphin, log sets, dolphin sets, purse",1,1998
53,5,"1994, litter, 1984, sewage, beach",1,1998
54,37,"indicator, debris, items, indicator items, non indicator",2,1998
55,-1,"louisianian province, louisianian, province, poor, discern relationships",1,1999
56,5,"patras, echinadhes, gulf, litter, obtained surveying",2,1999
57,11,"fat, birds, petrels, mollymawks, edward islands",1,1999
58,19,"bew, bag, target species, upper bag, target",1,1999
59,37,"inlets, outside inlets, items km, debris, outside",1,1999
60,-1,"prey, immaculatus, fish, larger individuals, squid",1,2000
61,0,"styrene, rubbers, spm, py gc, py",1,2000
62,11,"sea lions, lions, steller sea, steller, entangled",1,2000
63,14,"07d, taffetas, ultrafine fibers, denier, dyes",1,2000
64,37,"debris, anthropogenic debris, shelf, areas, sea",2,2000
65,-1,"volcaniclastic, debris, facies, atlantic gulf, debris flow",3,2001
66,0,"pyrograms, styrene, styrene butadiene, butadiene, polymers",1,2001
67,11,"turtles, entanglements, debris, seals, entanglement",2,2001
68,19,"selective, selective fishing, catch, fishing, gear",1,2001
69,37,"orange county, debris, high use, beaches, county",1,2001
70,-1,"south, island, scotia arc, south sandwich, local fishery",1,2002
71,5,"litter, pca, distinguished riverine, markers, beach user",1,2002
72,6,"containers, container, 2002 elsevier, plastic debris, plastic",2,2002
73,11,"debris, species, sharks, entangled, turtles",5,2002
74,23,"seaside park, pellets, seaside, bay sagami, park",1,2002
